part_age_group,round,cuminf_mean,cuminf_lower,cuminf_upper,date
40-49,5,0.17149032005488635,0.1329650712899882,0.21585068234321259,2021-06-23
50-59,5,0.1952963482195444,0.16876229090203476,0.22402800719022098,2021-06-23
60-69,5,0.1458741305882511,0.12362367283864148,0.17043171033315097,2021-06-23
70+,5,0.1377772156075928,0.11487334823595748,0.16332933201806632,2021-06-23
0-9,6,0.23740762523701284,0.1864370815198366,0.2946226590600911,2021-11-14
10-19,6,0.28912170198358106,0.2277150061506737,0.3568209239159039,2021-11-11
20-29,6,0.3230929839726827,0.264483894267124,0.3861180302690861,2021-11-09
30-39,6,0.22188720401920373,0.17757048711105175,0.2714325289628797,2021-11-10
40-49,6,0.21174289865988294,0.17463765727306133,0.2527401582841782,2021-11-09
50-59,6,0.2725887899430219,0.23581954440099642,0.31181497168784833,2021-11-09
60-69,6,0.17681515911419884,0.15261241021201472,0.20311990900177646,2021-11-08
70+,6,0.17118751545774602,0.1463642170798169,0.19833128121340393,2021-11-08
0-9,7,0.6905331245658658,0.6168323019481777,0.7577248255627798,2022-03-24
10-19,7,0.7653224954016796,0.6942554578540465,0.8268793903376972,2022-03-23
20-29,7,0.7238223336219778,0.6439014124962582,0.7944456320494656,2022-03-23
30-39,7,0.6646324439463889,0.6031949241287752,0.722206402715921,2022-03-23
40-49,7,0.5815873429714343,0.5178577976041189,0.6433638633297393,2022-03-23
50-59,7,0.5602304258131191,0.517535119325894,0.6022731014210903,2022-03-23
60-69,7,0.42645746033670573,0.38725278296327614,0.46636218242585914,2022-03-22
70+,7,0.3234763022079869,0.2896419521569673,0.35874342297947226,2022-03-22
0-9,8,0.7508124125287542,0.6630627677136979,0.825639486326573,2022-06-22
10-19,8,0.8772778042515393,0.8228841466390533,0.9197859088121152,2022-06-22
20-29,8,0.7469109106832652,0.6543673882524094,0.8255135445781708,2022-06-22
30-39,8,0.7597992811545095,0.6984158307913507,0.8141745740916789,2022-06-22
40-49,8,0.7272376684069061,0.6603029983064737,0.7873720207341671,2022-06-21
50-59,8,0.6675238837076901,0.6269008352296933,0.7063759968575775,2022-06-21
60-69,8,0.5712538754988369,0.527648086512895,0.6140524290708127,2022-06-21
70+,8,0.4566646670934722,0.4183760940668287,0.4953382936025814,2022-06-21
0-9,9,0.8611376042647105,0.7788911110451334,0.9214729846559777,2022-11-09
10-19,9,0.9294168544097156,0.8654592498319728,0.9691117219097418,2022-11-10
20-29,9,0.8873783252397648,0.8000613475266289,0.9458117377291528,2022-11-09
30-39,9,0.8721265359615481,0.8208687977743558,0.9130930235280409,2022-11-09
40-49,9,0.8808066786089324,0.837288376047704,0.9161247916967409,2022-11-09
50-59,9,0.8321898395042444,0.7988204151546838,0.8620468741898929,2022-11-08
60-69,9,0.7201135733571201,0.6747431241690383,0.7623784688336277,2022-11-08
70+,9,0.6010457667735185,0.5573001602692345,0.6436246671521673,2022-11-09
0-9,10,0.9206617494454353,0.8608716403202391,0.9604480362200781,2023-04-26
10-19,10,0.9759606667422536,0.9432377168052647,0.9925512315517017,2023-04-27
20-29,10,0.911980199037304,0.8346765213537374,0.9609262362713058,2023-04-26
30-39,10,0.9483929009777274,0.9103225993813049,0.9736167766194176,2023-04-26
40-49,10,0.9216786918273352,0.879404671920697,0.9527266592672681,2023-04-26
50-59,10,0.9126461738892201,0.8853366108060481,0.9352442059879662,2023-04-25
60-69,10,0.8452005029650671,0.8133058077561118,0.873559254504435,2023-04-25
70+,10,0.7517589141800606,0.71297640740121,0.787746380560519,2023-04-25
