part_age_group,round,cuminf_mean,cuminf_lower,cuminf_upper,date
70+,8,0.46616702759931533,0.4209506492940375,0.5118003215668926,2022-06-21
0-9,9,0.8575860964101479,0.788741109953771,0.9107369159507145,2022-11-09
10-19,9,0.9368468046298722,0.8809321423272122,0.9717360534993542,2022-11-09
20-29,9,0.8921694086730617,0.7940092044596028,0.9541100879682516,2022-11-09
30-39,9,0.8790953038644307,0.8246062045589472,0.9214981838863682,2022-11-09
40-49,9,0.8820066178705622,0.8394575854208426,0.9166057099518142,2022-11-08
50-59,9,0.8342884371570043,0.8014198367173663,0.8636933109584514,2022-11-08
60-69,9,0.724201207603496,0.6811387713809725,0.7643818684684908,2022-11-08
70+,9,0.6074731847797923,0.5568387828240844,0.656449169483075,2022-11-09
0-9,10,0.9192917994115486,0.8632822830790012,0.9575924764857003,2023-04-25
10-19,10,0.9779834006223717,0.9508278495548494,0.992418504647045,2023-04-26
20-29,10,0.9183682271965675,0.8480193949736576,0.9630852829267723,2023-04-25
30-39,10,0.9511244328866063,0.9028229113116606,0.9798020810539972,2023-04-25
40-49,10,0.922926361075083,0.8772907477460705,0.9555960827487462,2023-04-26
50-59,10,0.9138306468476052,0.8885886073820016,0.934938708806957,2023-04-25
60-69,10,0.8486232696502531,0.8138432987677391,0.8791411141031662,2023-04-25
70+,10,0.7545718099825951,0.7141698605150159,0.7918982486562622,2023-04-25
0-9,11,0.9176275600743996,0.8041185206698531,0.9766363956610119,2023-11-07
10-19,11,0.988752680166509,0.9657229571663388,0.9979456033039558,2023-11-08
20-29,11,0.9394221030744879,0.8821159915147251,0.9742371965101763,2023-11-07
30-39,11,0.960314173821984,0.9251775205523785,0.9820130763534317,2023-11-07
40-49,11,0.9408531539756706,0.898307258138694,0.9693643500629143,2023-11-06
50-59,11,0.9297021682850707,0.9064459783857299,0.9486804276074161,2023-11-06
60-69,11,0.8930059782036831,0.8611761110261552,0.919682464038809,2023-11-06
